Station,DateTime,Positive,NHunters,Comments
CLBF-002-001,2018-09-01 5:01,1,1,one hunter
CLBF-002-001,2018-09-01 7:22,1,1,hunter
CLBF-002-001,2018-09-01 9:28,1,1,hunter
CLBF-002-001,2018-09-01 11:02,1,1,hunter
CLBF-002-001,2018-09-01 12:06,1,2,2 hunters
CLBF-002-001,2018-09-01 17:06,1,1,hunter/ she's with the hunting party in the next pictures
CLBF-002-001,2018-09-01 19:33,1,1,one hunter
CLBF-002-001,2018-09-03 4:35,1,1,one hunter
CLBF-002-001,2018-09-03 11:32,1,1,hunter with the group in the next pictures
CLBF-002-001,2018-09-08 5:13,1,1,one hunter
CLBF-002-001,2018-09-08 7:30,1,1,hunter
CLBF-002-001,2018-09-08 10:44,1,1,hunter
CLBF-002-001,2018-09-08 11:00,1,1,hunter
CLBF-002-001,2018-09-08 12:15,1,1,hunter
CLBF-002-001,2018-09-08 13:12,1,2,hunters
CLBF-002-001,2018-09-08 17:46,1,1,hunter
CLBF-002-001,2018-09-08 19:00,1,1,hunter
CLBF-002-001,2018-09-10 11:45,1,1,hunter
CLBF-002-001,2018-09-10 17:14,1,1,hunter
CLBF-002-001,2018-09-11 14:22,1,1,hunter
CLBF-002-001,2018-09-11 15:48,1,1,hunter
CLBF-002-001,2018-09-11 17:32,1,1,hunter/his friend is the one with the gun
CLBF-002-001,2018-09-11 18:59,1,1,hunter
CLBF-002-001,2018-09-12 8:29,1,2,hunters
CLBF-002-001,2018-09-12 11:13,1,1,hunter
CLBF-002-001,2018-09-12 16:21,1,1,hunter
CLBF-002-001,2018-09-12 17:40,1,1,hunter
CLBF-002-001,2018-09-13 8:04,1,1,hunter
CLBF-002-001,2018-09-13 12:44,1,1,hunter
CLBF-002-001,2018-09-14 5:36,1,2,hunters
CLBF-002-001,2018-09-14 7:14,1,1,hunter
CLBF-002-001,2018-09-14 7:58,1,1,hunter
CLBF-002-001,2018-09-14 8:20,1,1,hunter
CLBF-002-001,2018-09-14 10:03,1,1,hunter
CLBF-002-001,2018-09-14 10:14,1,1,hunter
CLBF-002-001,2018-09-14 13:22,1,1,hunter
CLBF-002-001,2018-09-14 15:53,1,1,2 hunters? does the kid have a gun on his shoulder?
CLBF-002-001,2018-09-15 5:17,1,1,hunter
CLBF-002-001,2018-09-15 6:46,1,1,one hunter
CLBF-002-001,2018-09-15 9:42,1,1,one hunter
CLBF-002-001,2018-09-15 11:42,1,1,hunter/his friend is holding the gun
CLBF-002-001,2018-09-15 14:26,1,1,one hunter
CLBF-002-001,2018-09-15 17:44,1,1,hunter/ his friend was holding the gun
CLBF-002-001,2018-09-17 5:56,1,1,hunter
CLBF-002-001,2018-09-17 9:19,1,1,hunter
CLBF-002-001,2018-09-17 16:15,1,1,"hunter, his friend is holding the gun"
CLBF-002-001,2018-09-17 16:18,1,1,hunter
CLBF-002-001,2018-09-17 16:44,1,1,hunter
CLBF-002-001,2018-09-17 18:20,1,1,"hunter, his friend is holding the gun"
CLBF-002-001,2018-09-17 18:46,1,1,one hunter
CLBF-002-001,2018-09-17 18:57,1,1,one hunter
CLBF-002-001,2018-09-19 17:06,1,1,hunter
CLBF-002-001,2018-09-19 19:01,1,1,hunter
CLBF-002-001,2018-09-21 8:51,1,1,hunter
CLBF-002-001,2018-09-21 10:37,1,1,hunter
CLBF-002-001,2018-09-22 14:34,1,1,"hunter, his friend is holding the gun"
CLBF-002-001,2018-09-22 15:40,1,1,hunter
CLBF-002-001,2018-09-22 16:28,1,1,hunter
CLBF-002-001,2018-09-25 9:22,1,1,hunter
CLBF-002-001,2018-09-26 10:07,1,1,hunter
CLBF-002-001,2018-09-27 9:33,1,1,hunter
CLBF-002-001,2018-09-28 17:31,1,1,hunter
CLBF-002-001,2018-09-29 6:05,1,2,hunters
CLBF-002-001,2018-09-29 10:44,1,2,hunters
CLBF-002-001,2018-09-29 11:22,1,1,one hunter
CLBF-002-001,2018-09-29 12:14,1,1,one hunter
CLBF-002-001,2018-09-29 14:39,1,1,hunter
CLBF-002-001,2018-09-29 16:07,1,2,hunters
CLBF-002-001,2018-09-29 18:47,1,1,one hunter
CLBF-002-001,2018-10-01 15:59,1,1,hunter
CLBF-002-001,2018-10-02 9:09,1,2,hunters
CLBF-002-001,2018-10-03 15:32,1,1,hunter
CLBF-002-001,2018-10-04 8:09,1,1,hunter
CLBF-002-001,2018-10-04 10:01,1,1,hunter
CLBF-002-001,2018-10-04 11:43,1,1,hunter
CLBF-002-001,2018-10-04 11:55,1,1,hunter
CLBF-002-001,2018-10-04 15:50,1,1,hunter
CLBF-002-001,2018-10-04 18:26,1,1,hunter
CLBF-002-001,2018-10-05 6:40,1,1,hunter
CLBF-002-001,2018-10-05 11:32,1,1,hunter
CLBF-002-001,2018-10-05 15:19,1,1,hunter
CLBF-002-001,2018-10-05 18:17,1,1,hunter
CLBF-002-001,2018-10-06 11:47,1,1,hunter
CLBF-002-001,2018-10-06 17:13,1,1,hunter
CLBF-002-001,2018-10-09 14:27,1,1,hunter
CLBF-002-001,2018-10-09 18:15,1,1,hunter
CLBF-002-001,2018-10-10 6:10,1,1,hunter
CLBF-002-001,2018-10-10 11:52,1,1,hunter
CLBF-002-001,2018-10-11 9:11,1,1,hunter
CLBF-002-001,2018-10-11 17:37,1,1,hunter
CLBF-002-001,2018-10-12 11:28,1,1,hunter
CLBF-002-001,2018-10-12 13:36,1,1,hunter
CLBF-002-001,2018-10-13 10:45,1,1,hunter
CLBF-002-001,2018-10-13 14:30,1,1,hunter
CLBF-002-001,2018-10-13 14:36,1,1,hunter
CLBF-002-001,2018-10-15 8:33,1,1,hunter
CLBF-002-001,2018-10-15 9:10,1,1,hunter
CLBF-002-001,2018-10-15 12:32,1,1,hunter
CLBF-002-001,2018-10-16 7:58,1,1,hunter
CLBF-002-001,2018-10-16 13:30,1,2,hunters
CLBF-002-001,2018-10-16 14:55,1,1,"hunter, his friend is holding the gun"
CLBF-002-001,2018-10-16 16:21,1,2,hunters
CLBF-002-001,2018-10-16 16:36,1,1,hunter
CLBF-002-001,2018-10-16 18:01,1,1,hunter
CLBF-002-001,2018-10-17 8:47,1,1,hunter
CLBF-002-001,2018-10-17 10:11,1,1,hunter
CLBF-002-001,2018-10-17 10:29,1,1,hunter
CLBF-002-001,2018-10-17 12:51,1,1,one hunter
CLBF-002-001,2018-10-17 13:24,1,1,hunter
CLBF-002-001,2018-10-19 9:19,1,1,hunter
CLBF-002-001,2018-10-20 6:36,1,1,hunter
CLBF-002-001,2018-10-20 9:38,1,1,hunter
CLBF-002-001,2018-10-20 10:42,1,2,hunters
CLBF-002-001,2018-10-20 10:54,1,2,hunters
CLBF-002-001,2018-10-20 11:45,1,1,hunter
CLBF-002-001,2018-10-20 12:23,1,1,hunter
CLBF-002-001,2018-10-20 12:53,1,1,hunter
CLBF-002-001,2018-10-20 14:39,1,1,hunter
CLBF-002-001,2018-10-23 9:48,1,1,hunter
CLBF-002-001,2018-10-23 10:59,1,1,hunter
CLBF-002-001,2018-10-24 10:15,1,1,hunter
CLBF-002-001,2018-10-24 12:10,1,1,hunter
CLBF-002-001,2018-10-24 12:57,1,1,hunter
CLBF-002-001,2018-10-24 15:51,1,1,hunter
CLBF-002-001,2018-10-24 15:56,1,1,hunter
CLBF-002-001,2018-10-24 17:03,1,1,hunter
CLBF-002-001,2018-10-25 10:13,1,1,hunter
CLBF-002-001,2018-10-26 9:05,1,1,hunter
CLBF-002-001,2018-10-26 9:10,1,1,hunter
CLBF-002-001,2018-10-26 9:41,1,1,hunter
CLBF-002-001,2018-10-26 11:20,1,1,hunter
CLBF-002-001,2018-10-26 13:45,1,1,hunter
CLBF-002-001,2018-10-26 15:09,1,1,hunter
CLBF-002-001,2018-10-27 6:31,1,1,hunter
CLBF-002-001,2018-10-27 10:37,1,1,hunter
CLBF-002-001,2018-10-27 10:57,1,2,hunters
CLBF-002-001,2018-10-27 13:28,1,1,hunter
CLBF-002-001,2018-10-27 14:51,1,1,hunter
CLBF-002-001,2018-10-27 16:34,1,1,hunter
CLBF-002-001,2018-10-29 12:46,1,1,hunter
CLBF-002-001,2018-10-29 16:19,1,1,hunter
CLBF-002-001,2018-10-29 17:36,1,1,hunter
CLBF-002-001,2018-10-31 11:46,1,1,hunter
CLBF-002-001,2018-11-01 4:40,1,1,hunter
CLBF-002-001,2018-11-01 5:17,1,2,hunters
CLBF-002-001,2018-11-01 6:51,1,2,hunters
CLBF-002-001,2018-11-01 7:03,1,1,hunter
CLBF-002-001,2018-11-01 7:09,1,1,hunter
CLBF-002-001,2018-11-01 11:14,1,1,hunter
CLBF-002-001,2018-11-01 11:20,1,1,hunter
CLBF-002-001,2018-11-01 11:50,1,1,hunter
CLBF-002-001,2018-11-01 12:03,1,1,hunter
CLBF-002-001,2018-11-01 14:05,1,1,hunter
CLBF-002-001,2018-11-01 15:07,1,2,hunters
CLBF-002-001,2018-11-01 15:11,1,1,hunter
CLBF-002-001,2018-11-01 15:14,1,1,hunter
CLBF-002-001,2018-11-01 16:02,1,1,hunter
CLBF-002-001,2018-11-01 18:12,1,1,hunter
CLBF-002-001,2018-11-02 5:11,1,1,hunters
CLBF-002-001,2018-11-02 7:39,1,1,hunters
CLBF-002-001,2018-11-02 7:53,1,1,hunters
