Station,Gunshots,Julian,Hours,Distance,Weekday,Major
CLBF-001-001,0,245,14.45916667,172,Sunday,IsletLakeStagingArea
CLBF-001-002,0,245,14.45916667,670,Sunday,IsletLakeStagingArea
CLBF-001-003,0,245,14.45916667,1159,Sunday,IsletLakeStagingArea
CLBF-001-006,0,245,14.45916667,1413,Sunday,IsletLakeStagingArea
CLBF-001-007,0,245,14.45916667,1014,Sunday,IsletLakeStagingArea
CLBF-001-010,0,245,14.45916667,1646,Sunday,IsletLakeStagingArea
CLBF-001-013,0,245,14.45916667,1590,Sunday,IsletLakeStagingArea
CLBF-001-016,0,245,14.45916667,669,Sunday,CentralStagingArea
CLBF-001-018,0,245,14.45916667,1810,Sunday,IsletLakeStagingArea
CLBF-001-023,0,245,14.45916667,1831,Sunday,WaskaheganStagingArea
CLBF-001-024,0,245,14.45916667,2564,Sunday,IsletLakeStagingArea
CLBF-001-026,0,245,14.45916667,1743,Sunday,CentralStagingArea
CLBF-001-027,0,245,14.45916667,904,Sunday,WaskaheganStagingArea
CLBF-001-032,0,245,14.45916667,1176,Sunday,CentralStagingArea
CLBF-001-040,0,245,14.45916667,2161,Sunday,CentralStagingArea
CLBF-001-041,0,245,14.45916667,1093,Sunday,WaskaheganStagingArea
CLBF-001-048,0,245,14.45916667,1365,Sunday,CentralStagingArea
CLBF-001-052,0,245,14.45916667,506,Sunday,CentralStagingArea
CLBF-001-059,0,245,14.45916667,1462,Sunday,CentralStagingArea
CLBF-001-092,0,245,14.45916667,541,Sunday,BlackfootStagingArea
CLBF-001-046,0,246,10.22128444,2007,Monday,CentralStagingArea
CLBF-001-001,0,247,14.32138889,172,Tuesday,IsletLakeStagingArea
CLBF-001-002,0,247,14.32138889,670,Tuesday,IsletLakeStagingArea
CLBF-001-003,0,247,14.32138889,1159,Tuesday,IsletLakeStagingArea
CLBF-001-006,0,247,14.32138889,1413,Tuesday,IsletLakeStagingArea
CLBF-001-007,0,247,14.32138889,1014,Tuesday,IsletLakeStagingArea
CLBF-001-010,0,247,14.32138889,1646,Tuesday,IsletLakeStagingArea
CLBF-001-013,0,247,14.32138889,1590,Tuesday,IsletLakeStagingArea
CLBF-001-016,0,247,14.32138889,669,Tuesday,CentralStagingArea
CLBF-001-018,0,247,14.32138889,1810,Tuesday,IsletLakeStagingArea
CLBF-001-023,0,247,14.32138889,1831,Tuesday,WaskaheganStagingArea
CLBF-001-024,0,247,14.32138889,2564,Tuesday,IsletLakeStagingArea
CLBF-001-026,0,247,14.32138889,1743,Tuesday,CentralStagingArea
CLBF-001-027,0,247,14.32138889,904,Tuesday,WaskaheganStagingArea
CLBF-001-032,0,247,14.32138889,1176,Tuesday,CentralStagingArea
CLBF-001-040,0,247,14.32138889,2161,Tuesday,CentralStagingArea
CLBF-001-041,0,247,14.32138889,1093,Tuesday,WaskaheganStagingArea
CLBF-001-046,0,247,14.47382222,2007,Tuesday,CentralStagingArea
CLBF-001-048,0,247,14.32138889,1365,Tuesday,CentralStagingArea
CLBF-001-052,0,247,14.32138889,506,Tuesday,CentralStagingArea
CLBF-001-059,0,247,14.32138889,1462,Tuesday,CentralStagingArea
CLBF-001-092,0,247,14.32138889,541,Tuesday,BlackfootStagingArea
CLBF-001-011,0,248,7.319397778,1472,Wednesday,CentralStagingArea
CLBF-001-012,0,248,4.666268889,887,Wednesday,WaskaheganStagingArea
CLBF-001-015,0,248,7.636153333,1867,Wednesday,CentralStagingArea
CLBF-001-020,0,248,6.941788889,2638,Wednesday,CentralStagingArea
CLBF-001-021,0,248,6.67658,887,Wednesday,CentralStagingArea
CLBF-001-022,0,248,6.47602,372,Wednesday,WaskaheganStagingArea
CLBF-001-025,0,248,6.385246667,311,Wednesday,CentralStagingArea
CLBF-001-028,0,248,1.62447037,1293,Wednesday,WaskaheganStagingArea
CLBF-001-030,0,248,6.517293333,2716,Wednesday,CentralStagingArea
CLBF-001-031,0,248,5.948606667,1179,Wednesday,CentralStagingArea
CLBF-001-033,0,248,7.718517778,488,Wednesday,WaskaheganStagingArea
CLBF-001-034,0,248,7.060882222,1244,Wednesday,WaskaheganStagingArea
CLBF-001-037,0,248,5.974802222,3780,Wednesday,CentralStagingArea
CLBF-001-039,0,248,5.041628889,1305,Wednesday,CentralStagingArea
CLBF-001-045,0,248,5.500766667,3140,Wednesday,CentralStagingArea
CLBF-001-046,0,248,14.40493333,2007,Wednesday,CentralStagingArea
CLBF-001-049,0,248,8.457797778,262,Wednesday,WaskaheganStagingArea
CLBF-001-050,0,248,4.955442222,4090,Wednesday,CentralStagingArea
CLBF-001-051,0,248,4.72722,2302,Wednesday,CentralStagingArea
CLBF-001-053,0,248,8.013184444,817,Wednesday,WaskaheganStagingArea
CLBF-001-054,0,248,4.218224444,2528,Wednesday,WaskaheganStagingArea
CLBF-001-057,0,248,4.287157778,3885,Wednesday,CentralStagingArea
CLBF-001-060,0,248,5.121522222,619,Wednesday,WaskaheganStagingArea
CLBF-001-061,0,248,7.526242222,1749,Wednesday,WaskaheganStagingArea
CLBF-001-066,0,248,4.370046667,3118,Wednesday,BlackfootStagingArea
CLBF-001-067,0,248,6.235708889,1508,Wednesday,WaskaheganStagingArea
CLBF-001-068,0,248,6.987851111,2809,Wednesday,WaskaheganStagingArea
CLBF-001-073,0,248,5.728322222,546,Wednesday,WaskaheganStagingArea
CLBF-001-001,0,249,14.18888889,172,Thursday,IsletLakeStagingArea
CLBF-001-002,0,249,14.18888889,670,Thursday,IsletLakeStagingArea
CLBF-001-003,0,249,14.18888889,1159,Thursday,IsletLakeStagingArea
CLBF-001-005,0,249,8.882133333,681,Thursday,IsletLakeStagingArea
CLBF-001-006,0,249,14.18888889,1413,Thursday,IsletLakeStagingArea
CLBF-001-007,0,249,14.18888889,1014,Thursday,IsletLakeStagingArea
CLBF-001-008,0,249,9.574235556,1039,Thursday,IsletLakeStagingArea
CLBF-001-009,0,249,8.203804444,1690,Thursday,IsletLakeStagingArea
CLBF-001-010,0,249,14.18888889,1646,Thursday,IsletLakeStagingArea
CLBF-001-013,1,249,14.18888889,1590,Thursday,IsletLakeStagingArea
CLBF-001-014,0,249,7.605635556,2332,Thursday,IsletLakeStagingArea
CLBF-001-016,0,249,14.18888889,669,Thursday,CentralStagingArea
CLBF-001-018,0,249,14.18888889,1810,Thursday,IsletLakeStagingArea
CLBF-001-019,0,249,6.98336,2424,Thursday,IsletLakeStagingArea
CLBF-001-023,0,249,14.18888889,1831,Thursday,WaskaheganStagingArea
CLBF-001-024,0,249,14.18888889,2564,Thursday,IsletLakeStagingArea
CLBF-001-025,0,249,14.33576667,311,Thursday,CentralStagingArea
CLBF-001-026,0,249,14.18888889,1743,Thursday,CentralStagingArea
CLBF-001-027,0,249,14.18888889,904,Thursday,WaskaheganStagingArea
CLBF-001-028,0,249,0.05,1293,Thursday,WaskaheganStagingArea
CLBF-001-029,0,249,5.936684444,3306,Thursday,IsletLakeStagingArea
CLBF-001-030,0,249,14.33632667,2716,Thursday,CentralStagingArea
CLBF-001-032,0,249,14.18888889,1176,Thursday,CentralStagingArea
CLBF-001-035,0,249,10.27988444,2243,Thursday,WaskaheganStagingArea
