"Filename","Station","TimeOffset","Duration","Positive","RSL"
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180902_184200.wav","CLBF-001-001","00:07:56.464",0.512,1,20.0890247341605
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180908_152300.wav","CLBF-001-001","00:11:46.848",0.304,1,44.6812033201164
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180908_152300.wav","CLBF-001-001","00:21:37.696",0.128,1,39.6399775456215
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180910_062600.wav","CLBF-001-001","00:14:13.600",0.176,1,42.8691146647724
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180910_195600.wav","CLBF-001-001","00:06:43.900",0.208,1,40.7403128747011
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180918_091000.wav","CLBF-001-001","00:02:03.600",0.224,1,50.4793910823419
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180920_071400.wav","CLBF-001-001","00:14:26.480",0.144,1,31.6780771989457
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180920_071400.wav","CLBF-001-001","00:22:54.272",0.144,1,41.3590175825516
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180924_112100.wav","CLBF-001-001","00:11:03.536",0.144,1,45.7953826870644
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180924_115100.wav","CLBF-001-001","00:02:34.160",0.32,1,55.9973416658137
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180924_115100.wav","CLBF-001-001","00:15:21.760",0.128,1,46.7557521809238
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180924_122100.wav","CLBF-001-001","00:01:01.424",0.144,1,46.6762740492271
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180928_182800.wav","CLBF-001-001","00:25:12.096",0.432,1,30.2962777640894
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180928_185800.wav","CLBF-001-001","00:03:18.560",0.24,1,30.2318253211678
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180928_185800.wav","CLBF-001-001","00:03:23.488",0.24,1,31.1799137923689
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180928_185800.wav","CLBF-001-001","00:09:01.776",0.288,1,30.4497945085806
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180928_192800.wav","CLBF-001-001","00:11:21.504",0.432,1,26.0565403233208
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20180930_183200.wav","CLBF-001-001","00:27:31.360",0.256,1,54.0530742888816
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181002_160500.wav","CLBF-001-001","00:22:10.304",0.272,1,30.8102904776609
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181006_114200.wav","CLBF-001-001","00:01:21.056",0.272,1,39.1364420074183
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181008_134600.wav","CLBF-001-001","00:25:58.768",0.128,1,26.9586807637637
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181008_181600.wav","CLBF-001-001","00:01:00.368",0.128,1,29.3653287176209
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181010_164900.wav","CLBF-001-001","00:25:06.800",0.192,1,59.8363148225773
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181010_174900.wav","CLBF-001-001","00:12:14.416",0.256,1,70.9542571848151
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181010_184900.wav","CLBF-001-001","00:17:32.100",0.256,1,59.9979563279772
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181010_184900.wav","CLBF-001-001","00:18:26.288",0.464,1,60.7648264935283
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181016_120100.wav","CLBF-001-001","00:17:10.736",0.496,1,46.8897404461989
"G:\CLBF\CLBF\2018\01\CLBF-001\CLBF-001-001\CLBF-001-001_20181016_133100.wav","CLBF-001-001","00:25:22.144",0.352,1,37.2589340778537
