Station,Type,Latitude,Longitude,Distance,AccessPoint,StagingArea
CLBF-001-001,ARU,53.45625916,-112.8183809,172,IsletLakeStagingArea,IsletLakeStagingArea
CLBF-001-002,ARU,53.46000547,-112.8291458,670,IsletLakeStagingArea,IsletLakeStagingArea
CLBF-001-003,ARU,53.46067017,-112.8049518,1159,IsletLakeStagingArea,IsletLakeStagingArea
CLBF-001-005,ARU,53.4660342,-112.8700225,681,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-006,ARU,53.46492307,-112.8402646,1413,RR202AccessPoint,IsletLakeStagingArea
CLBF-001-007,ARU,53.46534993,-112.8176697,1014,IsletLakeStagingArea,IsletLakeStagingArea
CLBF-001-008,ARU,53.47034423,-112.8835165,1039,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-009,ARU,53.47058622,-112.8565715,1690,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-010,ARU,53.4700686,-112.8306936,1646,IsletLakeStagingArea,IsletLakeStagingArea
CLBF-001-011,ARU,53.46965102,-112.8043686,1472,CentralStagingArea,CentralStagingArea
CLBF-001-012,ARU,53.47577049,-112.8956918,887,SWAccessPoint,WaskaheganStagingArea
CLBF-001-013,ARU,53.47526585,-112.8695243,1590,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-014,ARU,53.47480868,-112.8434048,2332,RR202AccessPoint,IsletLakeStagingArea
CLBF-001-015,ARU,53.47435478,-112.8172861,1867,CentralStagingArea,CentralStagingArea
CLBF-001-016,ARU,53.47413639,-112.7912685,669,CentralStagingArea,CentralStagingArea
CLBF-001-018,ARU,53.4800807,-112.8823654,1810,SWAccessPoint,IsletLakeStagingArea
CLBF-001-019,ARU,53.47954621,-112.8561942,2424,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-020,ARU,53.47947268,-112.8306614,2638,CentralStagingArea,CentralStagingArea
CLBF-001-021,ARU,53.47860263,-112.8039347,887,CentralStagingArea,CentralStagingArea
CLBF-001-022,ARU,53.48518136,-112.9211323,372,RR205AccessPoint,WaskaheganStagingArea
CLBF-001-023,ARU,53.48467289,-112.8949885,1831,SWAccessPoint,WaskaheganStagingArea
CLBF-001-024,ARU,53.48425633,-112.8689249,2564,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-025,ARU,53.48294332,-112.7908859,311,CentralStagingArea,CentralStagingArea
CLBF-001-026,ARU,53.48236251,-112.7646673,1743,CentralStagingArea,CentralStagingArea
CLBF-001-027,ARU,53.48996387,-112.9339658,904,RR205AccessPoint,WaskaheganStagingArea
CLBF-001-028,ARU,53.48887878,-112.9086372,1293,RR205AccessPoint,WaskaheganStagingArea
CLBF-001-029,ARU,53.48854423,-112.8556827,3306,WTSConnectorAccessPoint,IsletLakeStagingArea
CLBF-001-030,ARU,53.48807396,-112.8296301,2716,CentralStagingArea,CentralStagingArea
CLBF-001-031,ARU,53.4875722,-112.8035014,1179,CentralStagingArea,CentralStagingArea
CLBF-001-032,ARU,53.48714468,-112.7774368,1176,CentralStagingArea,CentralStagingArea
CLBF-001-033,ARU,53.49464688,-112.9467525,488,DonsWayAccessPoint,WaskaheganStagingArea
CLBF-001-034,ARU,53.49415985,-112.9207392,1244,RR205AccessPoint,WaskaheganStagingArea
CLBF-001-035,ARU,53.4950328,-112.8981793,2243,RR205AccessPoint,WaskaheganStagingArea
CLBF-001-036,ARU,53.49319899,-112.8673584,3555,SWAccessPoint,IsletLakeStagingArea
CLBF-001-037,ARU,53.49363613,-112.8432566,3780,CentralStagingArea,CentralStagingArea
CLBF-001-038,ARU,53.49313201,-112.8162951,2220,CentralStagingArea,CentralStagingArea
CLBF-001-039,ARU,53.4918803,-112.7902224,1305,CentralStagingArea,CentralStagingArea
CLBF-001-040,ARU,53.49148496,-112.764217,2161,CentralStagingArea,CentralStagingArea
